fundus,res
11547_left.png,0.008
12082_left.jpeg,0.008
12082_left_lesions.jpg,0.008
12082_left_preprocessed.jpg,0.008
9e2058917304.png,0.008
Im013_ACRIMA.jpg,0.008
Im022_ACRIMA.jpg,0.008
Im041_ACRIMA.jpg,0.008
Im061_ACRIMA.jpg,0.008
Im070_ACRIMA.jpg,0.008
Im100_ACRIMA.jpg,0.008
Im138_ACRIMA.jpg,0.008
Im163_ACRIMA.jpg,0.008
Im210_ACRIMA.jpg,0.008
Im257_ACRIMA.jpg,0.008
Im382_g_ACRIMA.jpg,0.008
Im431_g_ACRIMA.jpg,0.008
Im448_g_ACRIMA.jpg,0.008
Im474_g_ACRIMA.jpg,0.008
Im562_g_ACRIMA.jpg,0.008
Im571_g_ACRIMA.jpg,0.008
Im654_g_ACRIMA.jpg,0.008
Im656_g_ACRIMA.jpg,0.008
Im665_g_ACRIMA.jpg,0.008
Im687_g_ACRIMA.jpg,0.008
c3cd0200df79.png,0.008
